Club,Season,League_Apps,League_Goals,Cup_Apps,Cup_Goals,Continental_Apps,Continental_Goals,Other_Apps,Other_Goals,Total_Apps,Total_Goals
Barcelona C,2003–04,10,5,,,,,,,10,5
Barcelona B,2003–04,5,0,,,,,,,5,0
Barcelona B,2004–05,17,6,,,,,,,17,6
Barcelona,2004–05,7,1,1.0,0.0,1.0,0.0,,,9,1
Barcelona,2005–06,17,6,2.0,1.0,6.0,1.0,0.0,0.0,25,8
Barcelona,2006–07,26,14,2.0,2.0,5.0,1.0,3.0,0.0,36,17
Barcelona,2007–08,28,10,3.0,0.0,9.0,6.0,,,40,16
Barcelona,2008–09,31,23,8.0,6.0,12.0,9.0,,,51,38
Barcelona,2009–10,35,34,3.0,1.0,11.0,8.0,4.0,4.0,53,47
Barcelona,2010–11,33,31,7.0,7.0,13.0,12.0,2.0,3.0,55,53
Barcelona,2011–12,37,50,7.0,3.0,11.0,14.0,5.0,6.0,60,73
Barcelona,2012–13,32,46,5.0,4.0,11.0,8.0,2.0,2.0,50,60
Barcelona,2013–14,31,28,6.0,5.0,7.0,8.0,2.0,0.0,46,41
Barcelona,2014–15,38,43,6.0,5.0,13.0,10.0,,,57,58
Barcelona,2015–16,33,26,5.0,5.0,7.0,6.0,4.0,4.0,49,41
Barcelona,2016–17,34,37,7.0,5.0,9.0,11.0,2.0,1.0,52,54
Barcelona,2017–18,36,34,6.0,4.0,10.0,6.0,2.0,1.0,54,45
Barcelona,2018–19,34,36,5.0,3.0,10.0,12.0,1.0,0.0,50,51
Barcelona,2019–20,33,25,2.0,2.0,8.0,3.0,1.0,1.0,44,31
Barcelona,2020–21,35,30,5.0,3.0,6.0,5.0,1.0,0.0,47,38
Paris Saint-Germain,2021–22,26,6,1.0,0.0,7.0,5.0,,,34,11
Paris Saint-Germain,2022–23,32,16,1.0,0.0,7.0,4.0,1.0,1.0,41,21
Inter Miami,2023,6,1,1.0,0.0,,,7.0,10.0,14,11
Inter Miami,2024,19,20,,,3.0,2.0,3.0,1.0,25,23
Inter Miami,2025,28,29,,,7.0,5.0,9.0,5.0,44,39
Career total,Career total,663,557,83.0,56.0,173.0,136.0,49.0,39.0,968,788
